matchId;date;tournamentId;tournamentName;tournamentCategory;surface;tournamentCountry;roundId;roundDesc;draw;result;resultStatusDesc;winnerId;winnerEntry;winnerSeed;winnerName;winnerCountry;loserId;loserEntry;loserSeed;loserName;loserCountry
1100538117;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;Q;6-0 6-4;;800199318;DA;;Khushcher Italia;IND;800237266;DA;;Spandana Palluri;IND
1100538118;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-0 6-1;;800218582;WC;1;Yi Chen;TPE;800233453;DA;;Afreen Jahan;IND
1100538119;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-0 6-0;;800224954;DA;2;Iciri Rai;IND;800229881;DA;;Bharathy Parthasarathy;IND
1100538120;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-1 6-3;;800199319;DA;3;Sheethal Goutham;IND;800255984;DA;;Farah Mahmood;IND
1100538121;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-0 6-0;;800225704;DA;;Minori Takemoto;JPN;800224963;DA;4;Chirashanthi Rajur;IND
1100538122;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-0 6-0;;800229877;DA;5;Sandra Sasidharan;IND;800255948;DA;;Megha Panuganti;IND
1100538123;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-1 6-1;;800253908;DA;;Meghana Paritala;IND;800233458;DA;;Preethi Shravan;IND
1100538124;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-2 6-3;;800220031;DA;;Rati Kumar;IND;800224962;DA;;Anupama Rajur;IND
1100538125;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;Q;6-0 6-0;;800199318;DA;;Khushcher Italia;IND;800224729;DA;;Pallavi Sharma;IND
1100538126;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-1 6-3;;800644875;DA;1;Isha Lakhani;IND;800205282;WC;;Geeta Manohar;IND
1100538127;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-0 6-3;;800216922;DA;;Oxana Lyubtsova;UKR;800242871;WC;;Oormila Ram;IND
1100538128;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-4 6-3;;800215065;DA;;Ankita Bhambri;IND;800220222;DA;;Lata Assudani;IND
1100538129;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-4 7-5;;800218582;Q;;Yi Chen;TPE;800215325;DA;7;Diana Julianto;INA
1100538130;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;7-5 6-0;;800215433;DA;;Sandy Gumulya;INA;800219453;DA;3;Meghha Vakaria;IND
1100538131;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-4 6-2;;800220028;DA;;Samrita Sekar;IND;800229877;Q;;Sandra Sasidharan;IND
1100538132;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-3 6-2;;800215231;DA;;Po-Kuen Lam;HKG;800233482;WC;;Sandhya Nagaraj;IND
1100538133;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-1 6-4;;800211381;DA;6;Giorgia Mortello;ITA;800219454;DA;;Septi Mende;INA
1100538134;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-3 7-5;;800184943;DA;5;Sai-Jayalakshmy Jayaram;IND;800225704;Q;;Minori Takemoto;JPN
1100538135;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-4 6-1;;800224954;Q;;Iciri Rai;IND;800253908;Q;;Meghana Paritala;IND
1100538136;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;4-6 7-5 6-4;;800220031;Q;;Rati Kumar;IND;800199318;Q;;Khushcher Italia;IND
1100538137;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-2 6-3;;800220390;DA;4;Tomoyo Takagishi;JPN;800215431;DA;;Maya Rosa;INA
1100538138;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-2 6-2;;800215716;DA;;Lisa Tognetti;ITA;800214705;DA;8;Liza Viplav;IND
1100538139;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-1 6-0;;800195648;DA;;Shruti Dhawan;IND;800199319;Q;;Sheethal Goutham;IND
1100538140;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-1 6-2;;800199076;DA;;Satomi Kinjo;JPN;800214256;WC;;Nandini Perumal;IND
1100538141;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;1;1st Round;M;6-3 6-0;;800184953;DA;2;Rushmi Chakravarthi;IND;800639630;DA;;Archana Venkata Raman;IND
1100538406;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-4 6-2;;800215065;DA;;Ankita Bhambri;IND;800218582;Q;;Yi Chen;TPE
1100538407;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-7(5) 6-2 7-6(3);;800215433;DA;;Sandy Gumulya;INA;800220028;DA;;Samrita Sekar;IND
1100538408;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-2 6-2;;800211381;DA;6;Giorgia Mortello;ITA;800215231;DA;;Po-Kuen Lam;HKG
1100538409;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-2 2-6 6-3;;800184943;DA;5;Sai-Jayalakshmy Jayaram;IND;800224954;Q;;Iciri Rai;IND
1100538410;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-2 6-1;;800220390;DA;4;Tomoyo Takagishi;JPN;800220031;Q;;Rati Kumar;IND
1100538411;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;0-6 6-4 6-2;;800215716;DA;;Lisa Tognetti;ITA;800195648;DA;;Shruti Dhawan;IND
1100538412;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;2;2nd Round;M;6-4 6-4;;800184953;DA;2;Rushmi Chakravarthi;IND;800199076;DA;;Satomi Kinjo;JPN
1100538771;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;3;Quarter-finals;M;6-4 2-6 6-2;;800215065;DA;;Ankita Bhambri;IND;800644875;DA;1;Isha Lakhani;IND
1100538772;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;3;Quarter-finals;M;7-6(4) 6-3;;800215433;DA;;Sandy Gumulya;INA;800211381;DA;6;Giorgia Mortello;ITA
1100538773;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;3;Quarter-finals;M;2-6 6-1 6-1;;800220390;DA;4;Tomoyo Takagishi;JPN;800184943;DA;5;Sai-Jayalakshmy Jayaram;IND
1100538774;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;3;Quarter-finals;M;7-5 6-4;;800184953;DA;2;Rushmi Chakravarthi;IND;800215716;DA;;Lisa Tognetti;ITA
1100539114;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;4;Semi-finals;M;6-3 6-3;;800215433;DA;;Sandy Gumulya;INA;800215065;DA;;Ankita Bhambri;IND
1100539115;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;4;Semi-finals;M;6-2 6-3;;800184953;DA;2;Rushmi Chakravarthi;IND;800220390;DA;4;Tomoyo Takagishi;JPN
1100539667;2004-01-12T00:00:00;1100009370;$10,000 Hyderabad;W10;Hard;India;5;Final;M;6-1 6-3;;800215433;DA;;Sandy Gumulya;INA;800184953;DA;2;Rushmi Chakravarthi;IND
1100537834;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-1 6-1;;800218150;DA;1;Ahsha Rolle;USA;800236783;DA;;Daisy Ames;USA
1100537835;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-1 4-6 6-3;;800215103;DA;;Cristelle Grier;GBR;800224583;DA;;Courtney Vernon;USA
1100537836;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-4 7-5;;800224155;DA;;Liberty Sveke;USA;800220142;DA;;Gabriela Duch;MEX
1100537837;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-1 6-3;;800236581;DA;13;Kim-Anh Nguyen;USA;800199610;DA;;Marilyn Baker;USA
1100537838;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-0;;800236445;DA;2;Alisa Kleybanova;RUS;800238467;DA;;Nicole Grunwald;USA
1100537839;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-3 6-4;;800206215;DA;;Tetiana Luzhanska;UKR;800223489;DA;;Arpi Kojian;USA
1100537840;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-2 6-2;;800233498;DA;;Yuko Uchida;JPN;800243145;DA;;Veronica Queen;USA
1100537841;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-2;;800713843;DA;12;Paula Zabala;USA;800256002;WC;;Danice Shackelford;USA
1100537842;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-2 4-1 ret.;Retired;800208410;DA;3;Sarah Riske;USA;800213719;DA;;Marta Simic;SCG
1100537843;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-0;;800215727;DA;;Lolita Frangulyan;UZB;800255503;A;;Anastasia Sokolova;RUS
1100537844;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-0;;800208127;DA;;Christina Fusano;USA;800221595;DA;;Danielle Spacek;USA
1100537845;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-0;;800226808;DA;9;Stacia Fonseca;USA;800255951;WC;;Natalia Subotic;USA
1100537846;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;4-6 6-2 6-4;;800189091;DA;4;Aneta Soukup;CAN;800241607;DA;;Caren Seenauth;USA
1100537847;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-2 3-6 6-2;;800256102;DA;;Leslie Koffi;USA;800681970;DA;;Anna Savitskaya;FRA
1100537848;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-3;;800203621;DA;;Katie Granson;USA;800230270;DA;;Chantal Beetham;CAN
1100537849;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-4 6-2;;800228853;DA;10;Monika Dancevic;CAN;800233542;DA;;Chrissie Seredni;USA
1100537850;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-0;;800219744;DA;5;Iris Ichim;USA;800665138;DA;;Julianna Gates;USA
1100537851;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-1 6-1;;800220937;DA;;Viviana Yrureta;VEN;800217451;DA;;Becky Brown;USA
1100537852;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-1;;800198264;WC;;Whitney Laiho;USA;800219778;DA;;Katie McGlennen;USA
1100537853;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-0 6-2;;800210338;DA;;Adriana Jerabek;GER;800219903;DA;14;Christina Obermoser;AUT
1100537854;2004-01-12T00:00:00;1100009368;$10,000 Tampa, FL;W10;Hard;USA;1;1st Round;Q;6-2 6-0;;800219427;DA;6;Kokoro Takehara;JPN;800249026;DA;;Alexis Dorr;USA
