match_type,match_date,tournament_name,surface,tournament_country,round_name,draw,result,result_status,winner_entry,winner_seed,winner_name,winner_country,loser_entry,loser_seed,loser_name,loser_country
Fed/BJK Cup,1986-07-27,World Group,Clay,Czechoslovakia,Semi Finals,Main Draw,6-2 6-4,,,,Hana Mandlikova,AUS,,,Gabriela Sabatini,ARG
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Quarter Finals,Main Draw,5-7 6-1 6-1,,,,Gabriela Sabatini,ARG,,,Zina Garrison,USA
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Quarter Finals,Main Draw,6-1 6-1,,,,Kathy Jordan,USA,,,Adriana Villagran-Reami,ARG
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Last 16,Main Draw,6-3 6-4,,,,Mercedes Paz,ARG,,,Julie Richardson,NZL
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Last 32,Main Draw,7-6(6) 6-7(6) 8-6,,,,Adriana Villagran-Reami,ARG,,,Pilar Vasquez,PER
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Last 32,Main Draw,6-3 6-3,,,,Gabriela Sabatini,ARG,,,Laura Gildemeister,PER
Fed/BJK Cup,1985-10-14,World Group,Hard,Japan,Last 16,Main Draw,6-1 6-0,,,,Gabriela Sabatini,ARG,,,Belinda Cordwell,NZL
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Last 16,Consolation Round,6-1 6-1,,,,Gabriela Sabatini,ARG,,,Claudia Borgiani,VEN
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Last 16,Consolation Round,6-3 6-1,,,,Emilse Rapponi-Longo,ARG,,,Stefania Sernaglia,VEN
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Quarter Finals,Consolation Round,7-6(0) 4-6 6-4,,,,Emilse Rapponi-Longo,ARG,,,Ni Zhong,CHN
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Quarter Finals,Consolation Round,7-5 6-1,,,,Gabriela Sabatini,ARG,,,Li-Lan Duan,CHN
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Last 32,Main Draw,4-6 7-5 6-4,,,,Liz Smylie,AUS,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1984-07-22,World Group,Clay,Brazil,Last 32,Main Draw,2-6 6-4 6-0,,,,Anne Minter,AUS,,,Emilse Rapponi-Longo,ARG
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Last 16,Main Draw,6-4 7-5,,,,Ivanna Madruga-Osses,ARG,,,Andrea Temesvari,HUN
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Quarter Finals,Main Draw,4-6 6-1 6-2,,,,Helena Sukova,CZE,,,Emilse Rapponi-Longo,ARG
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Quarter Finals,Main Draw,6-4 6-3,,,,Hana Mandlikova,AUS,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Last 16,Main Draw,6-4 7-5,,,,Emilse Rapponi-Longo,ARG,,,Csilla Cserepy,HUN
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Last 32,Main Draw,6-3 6-3,,,,Emilse Rapponi-Longo,ARG,,,Corinne Vanier,FRA
Fed/BJK Cup,1983-07-24,World Group,Clay,Switzerland,Last 32,Main Draw,6-3 6-3,,,,Catherine Tanvier,FRA,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Last 16,Consolation Round,6-1 6-1,,,,Emilse Rapponi-Longo,ARG,,,Saida Berthe,SEN
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Quarter Finals,Consolation Round,6-1 6-3,,,,Ivanna Madruga-Osses,ARG,,,Chiu-Mei Ho,TPE
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Quarter Finals,Consolation Round,4-6 6-1 6-1,,,,Adriana Villagran-Reami,ARG,,,Hsiu-Tsuan Wen,TPE
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Semi Finals,Consolation Round,6-0 7-6(0),,,,Carling Bassett-Seguso,CAN,,,Adriana Villagran-Reami,ARG
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Semi Finals,Consolation Round,4-6 7-5 6-2,,,,Ivanna Madruga-Osses,ARG,,,Marjorie Blackwood,CAN
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Last 32,Main Draw,6-4 6-4,,,,Laura Gildemeister,PER,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Last 32,Main Draw,6-3 3-6 6-2,,,,Emilse Rapponi-Longo,ARG,,,Pilar Vasquez,PER
Fed/BJK Cup,1982-07-25,World Group,Hard,United States,Last 16,Consolation Round,6-0 6-3,,,,Adriana Villagran-Reami,ARG,,,Sadia Berthe-Hoffman,SEN
Fed/BJK Cup,1980-05-25,World Group,Clay,Germany,Last 32,Main Draw,6-3 6-2,,,,Claudia Casabianca,ARG,,,Elly Appel,NED
Fed/BJK Cup,1980-05-25,World Group,Clay,Germany,Last 32,Main Draw,7-5 6-1,,,,Ivanna Madruga-Osses,ARG,,,Marcella Mesker,NED
Fed/BJK Cup,1980-05-25,World Group,Clay,Germany,Last 16,Main Draw,5-7 7-6(0) 6-2,,,,Sue Barker,GBR,,,Adriana Villagran-Reami,ARG
Fed/BJK Cup,1980-05-25,World Group,Clay,Germany,Last 16,Main Draw,7-5 7-5,,,,Ivanna Madruga-Osses,ARG,,,Virginia Wade,GBR
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Last 32,Main Draw,6-2 7-5,,,,Elly Appel,NED,,,Emilse Rapponi-Longo,ARG
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Final,Consolation Round,6-0 5-7 6-4,,,,Emilse Rapponi-Longo,ARG,,,Carmen Perea-Alcala,ESP
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Last 32,Main Draw,6-4 6-4,,,,Betty Stove,NED,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Last 16,Consolation Round,6-3 6-1,,,,Ivanna Madruga-Osses,ARG,,,Judit Szorenyi,HUN
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Final,Consolation Round,6-1 6-3,,,,Adriana Villagran-Reami,ARG,,,Mónica Álvarez de Mon,ESP
Fed/BJK Cup,1979-05-06,World Group,Clay,Spain,Last 16,Consolation Round,8-6 7-5,,,,Emilse Raponi,ARG,,,Anna Nemeth,HUN
Fed/BJK Cup,1978-12-03,World Group,Grass,Australia,Last 32,Main Draw,11-9 2-6 6-4,,,,Ivanna Madruga-Osses,ARG,,,Dorte Ekner,DEN
