match_type,match_date,tournament_name,surface,tournament_country,round_name,draw,result,result_status,winner_entry,winner_seed,winner_name,winner_country,loser_entry,loser_seed,loser_name,loser_country
Fed/BJK Cup,2023-04-14,Group I Americas,Clay,Colombia,Round Robin,Main Draw,7-5 6-1,,,,Lucciana Perez Alarcon,PER,,,Martina Capurro Taborda,ARG
Fed/BJK Cup,2023-04-14,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-0 6-0,,,,Julia Riera,ARG,,,Romina Ccuno,PER
Fed/BJK Cup,2023-04-13,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 ret.,,,,Julia Riera,ARG,,,Daniela Seguel,CHI
Fed/BJK Cup,2023-04-13,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-3 6-0,,,,Martina Capurro Taborda,ARG,,,Fernanda Labrana,CHI
Fed/BJK Cup,2023-04-12,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-4 6-0,,,,Martina Capurro Taborda,ARG,,,Catalina Padilla Udaeta,BOL
Fed/BJK Cup,2023-04-12,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-1,,,,Julia Riera,ARG,,,Noelia Zeballos Melgar,BOL
Fed/BJK Cup,2023-04-11,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-7(5) 6-0 6-1,,,,Julia Riera,ARG,,,Maria Gabriela Rivera Corado,GUA
Fed/BJK Cup,2023-04-11,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-3,,,,Martina Capurro Taborda,ARG,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,2022-11-12,Play-Offs - Brazil vs Argentina,Clay,Argentina,Last 16,Main Draw,6-2 6-0,,,,Laura Pigossi,BRA,,,Solana Sierra,ARG
Fed/BJK Cup,2022-11-12,Play-Offs - Brazil vs Argentina,Clay,Argentina,Last 16,Main Draw,6-3 6-3,,,,Beatriz Haddad Maia,BRA,,,Maria Lourdes Carle,ARG
Fed/BJK Cup,2022-11-11,Play-Offs - Brazil vs Argentina,Clay,Argentina,Last 16,Main Draw,6-1 6-3,,,,Beatriz Haddad Maia,BRA,,,Nadia Podoroska,ARG
Fed/BJK Cup,2022-11-11,Play-Offs - Brazil vs Argentina,Clay,Argentina,Last 16,Main Draw,6-2 7-5,,,,Paula Ormaechea,ARG,,,Laura Pigossi,BRA
Fed/BJK Cup,2022-04-16,Group I Americas,Hard,Ecuador,Semi Finals,Promotion Play-off,6-3 6-0,,,,Maria Lourdes Carle,ARG,,,Renata Zarazua Ruckstuhl,MEX
Fed/BJK Cup,2022-04-16,Group I Americas,Hard,Ecuador,Semi Finals,Promotion Play-off,7-5 6-1,,,,Solana Sierra,ARG,,,Marcela Zacarias,MEX
Fed/BJK Cup,2022-04-15,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,6-4 6-0,,,,Solana Sierra,ARG,,,Melissa Morales,GUA
Fed/BJK Cup,2022-04-15,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,3-6 6-3 6-3,,,,Jazmin Ortenzi,ARG,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,2022-04-14,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,7-6(1) 4-6 7-6(12),,,,Solana Sierra,ARG,,,Laura Pigossi,BRA
Fed/BJK Cup,2022-04-14,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,6-7(10) 6-3 7-6(5),,,,Beatriz Haddad Maia,BRA,,,Maria Lourdes Carle,ARG
Fed/BJK Cup,2022-04-13,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,6-2 6-3,,,,Solana Sierra,ARG,,,Yuliana Lizarazo,COL
Fed/BJK Cup,2022-04-13,Group I Americas,Hard,Ecuador,Round Robin,Main Draw,3-6 7-5 6-2,,,,Maria Lourdes Carle,ARG,,,Maria Herazo,COL
Fed/BJK Cup,2021-04-17,Play-Offs - Kazakhstan vs Argentina,Clay,Argentina,Last 16,Main Draw,6-7(3) 7-6(3),,,,Maria Lourdes Carle,ARG,,,Yulia Putintseva,KAZ
Fed/BJK Cup,2021-04-17,Play-Offs - Kazakhstan vs Argentina,Clay,Argentina,Last 16,Main Draw,6-4 6-4,,,,Elena Rybakina,KAZ,,,Nadia Podoroska,ARG
Fed/BJK Cup,2021-04-16,Play-Offs - Kazakhstan vs Argentina,Clay,Argentina,Last 16,Main Draw,2-6 6-4 6-0,,,,Yulia Putintseva,KAZ,,,Nadia Podoroska,ARG
Fed/BJK Cup,2021-04-16,Play-Offs - Kazakhstan vs Argentina,Clay,Argentina,Last 16,Main Draw,6-4 3-6 6-0,,,,Maria Lourdes Carle,ARG,,,Elena Rybakina,KAZ
Fed/BJK Cup,2020-02-08,Group I Americas,Clay,Chile,Semi Finals,Promotion Play-off,7-5 6-2,,,,Nadia Podoroska,ARG,,,Emiliana Arango,COL
Fed/BJK Cup,2020-02-08,Group I Americas,Clay,Chile,Semi Finals,Promotion Play-off,6-4 6-4,,,,Paula Ormaechea,ARG,,,Camila Osorio Serrano,COL
Fed/BJK Cup,2020-02-07,Group I Americas,Clay,Chile,Round Robin,Main Draw,7-5 6-1,,,,Victoria Bosio,ARG,,,Daianne Hayashida,PER
Fed/BJK Cup,2020-02-07,Group I Americas,Clay,Chile,Round Robin,Main Draw,6-1 6-1,,,,Paula Ormaechea,ARG,,,Romina Ccuno,PER
Fed/BJK Cup,2020-02-06,Group I Americas,Clay,Chile,Round Robin,Main Draw,6-2 6-3,,,,Nadia Podoroska,ARG,,,Barbara Gatica,CHI
Fed/BJK Cup,2020-02-06,Group I Americas,Clay,Chile,Round Robin,Main Draw,6-3 6-3,,,,Paula Ormaechea,ARG,,,Daniela Seguel,CHI
Fed/BJK Cup,2020-02-05,Group I Americas,Clay,Chile,Round Robin,Main Draw,6-2 6-0,,,,Nadia Podoroska,ARG,,,Fernanda Contreras Gomez,MEX
Fed/BJK Cup,2020-02-05,Group I Americas,Clay,Chile,Round Robin,Main Draw,6-3 6-4,,,,Giuliana Olmos Dick,MEX,,,Paula Ormaechea,ARG
Fed/BJK Cup,2019-02-09,Group I Americas,Clay,Colombia,Semi Finals,Relegation Play-off,0-6 7-5 7-6(1),,,,Charlotte Roemer,ECU,,,Victoria Bosio,ARG
Fed/BJK Cup,2019-02-09,Group I Americas,Clay,Colombia,Semi Finals,Relegation Play-off,7-5 6-2,,,,Catalina Pella,ARG,,,Mell Elizabeth Reasco Gonzalez,ECU
Fed/BJK Cup,2019-02-08,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-7(3) 7-5 7-6(4),,,,Victoria Bosio,ARG,,,Beatriz Haddad Maia,BRA
Fed/BJK Cup,2019-02-08,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-4 6-4,,,,Carolina Alves,BRA,,,Catalina Pella,ARG
Fed/BJK Cup,2019-02-07,Group I Americas,Clay,Colombia,Round Robin,Main Draw,7-5 7-6(4),,,,Daniela Seguel,CHI,,,Victoria Bosio,ARG
Fed/BJK Cup,2019-02-07,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-4 6-3,,,,Fernanda Brito,CHI,,,Catalina Pella,ARG
Fed/BJK Cup,2019-02-06,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-3 6-1,,,,Catalina Pella,ARG,,,Lauren Anzalotta Kynoch,PUR
Fed/BJK Cup,2019-02-06,Group I Americas,Clay,Colombia,Round Robin,Main Draw,3-6 7-5 6-2,,,,Monica Puig,PUR,,,Victoria Bosio,ARG
Fed/BJK Cup,2018-02-10,Group I Americas,Clay,Paraguay,Final,3rd to 4th Play-off,6-4 6-4,,,,Stephanie Mariel Petit,ARG,,,Maria Paulina Perez-Garcia,COL
Fed/BJK Cup,2018-02-10,Group I Americas,Clay,Paraguay,Final,3rd to 4th Play-off,6-1 6-4,,,,Paula Ormaechea,ARG,,,Juliana Valero,COL
Fed/BJK Cup,2018-02-09,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,6-2 4-6 6-4,,,,Beatriz Haddad Maia,BRA,,,Catalina Pella,ARG
Fed/BJK Cup,2018-02-09,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,7-5 6-0,,,,Paula Ormaechea,ARG,,,Nathaly Kurata,BRA
Fed/BJK Cup,2018-02-08,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,6-4 1-6 6-1,,,,Paula Ormaechea,ARG,,,Aymet Uzcategui,VEN
Fed/BJK Cup,2018-02-08,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,4-6 6-0 6-1,,,,Catalina Pella,ARG,,,Andrea Gamiz,VEN
Fed/BJK Cup,2018-02-07,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,6-0 6-7(6) 6-2,,,,Catalina Pella,ARG,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,2018-02-07,Group I Americas,Clay,Paraguay,Round Robin,Main Draw,7-5 6-2,,,,Paula Ormaechea,ARG,,,Daniela Schippers,GUA
Fed/BJK Cup,2017-02-11,Group I Americas,Hard,Mexico,Final,3rd to 4th Play-off,6-3 6-4,,,,Montserrat Gonzalez,PAR,,,Maria Irigoyen,ARG
Fed/BJK Cup,2017-02-11,Group I Americas,Hard,Mexico,Final,3rd to 4th Play-off,6-4 6-0,,,,Veronica Cepede Royg,PAR,,,Guadalupe Perez Rojas,ARG
Fed/BJK Cup,2017-02-09,Group I Americas,Hard,Mexico,Round Robin,Main Draw,3-6 6-4 6-2,,,,Teliana Pereira,BRA,,,Catalina Pella,ARG
Fed/BJK Cup,2017-02-09,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-3 6-4,,,,Nadia Podoroska,ARG,,,Gabriela Ce,BRA
Fed/BJK Cup,2017-02-08,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-4 6-2,,,,Nadia Podoroska,ARG,,,Giuliana Olmos Dick,MEX
Fed/BJK Cup,2017-02-08,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-3 6-0,,,,Renata Zarazua Ruckstuhl,MEX,,,Catalina Pella,ARG
Fed/BJK Cup,2017-02-07,Group I Americas,Hard,Mexico,Round Robin,Main Draw,1-6 6-3 7-6(1),,,,Catalina Pella,ARG,,,Mariana Duque-Marino,COL
Fed/BJK Cup,2017-02-07,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-2 6-2,,,,Nadia Podoroska,ARG,,,Camila Osorio Serrano,COL
Fed/BJK Cup,2017-02-06,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-3 6-4,,,,Daniela Seguel,CHI,,,Catalina Pella,ARG
Fed/BJK Cup,2017-02-06,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-0 6-2,,,,Nadia Podoroska,ARG,,,Fernanda Brito,CHI
Fed/BJK Cup,2016-04-17,World Group II - Argentina vs Ukraine,Hard,Ukraine,Quarter Finals,Play-off,Not Played,,,,Nadia Podoroska,ARG,,,Kateryna Volodko,UKR
Fed/BJK Cup,2016-04-17,World Group II - Argentina vs Ukraine,Hard,Ukraine,Quarter Finals,Play-off,6-0 6-3,,,,Lesia Tsurenko,UKR,,,Maria Irigoyen,ARG
Fed/BJK Cup,2016-04-16,World Group II - Argentina vs Ukraine,Hard,Ukraine,Quarter Finals,Play-off,6-1 6-1,,,,Kateryna Volodko,UKR,,,Maria Irigoyen,ARG
Fed/BJK Cup,2016-04-16,World Group II - Argentina vs Ukraine,Hard,Ukraine,Quarter Finals,Play-off,6-1 6-4,,,,Lesia Tsurenko,UKR,,,Nadia Podoroska,ARG
Fed/BJK Cup,2016-02-06,Group I Americas,Clay,Bolivia,Final,Promotion Play-off,6-0 6-2,,,,Catalina Pella,ARG,,,Camila Giangreco Campiz,PAR
Fed/BJK Cup,2016-02-06,Group I Americas,Clay,Bolivia,Final,Promotion Play-off,6-4 6-3,,,,Nadia Podoroska,ARG,,,Montserrat Gonzalez,PAR
Fed/BJK Cup,2016-02-05,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,6-0 6-0,,,,Teliana Pereira,BRA,,,Maria Irigoyen,ARG
Fed/BJK Cup,2016-02-05,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,7-5 6-3,,,,Nadia Podoroska,ARG,,,Beatriz Haddad Maia,BRA
Fed/BJK Cup,2016-02-04,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,7-6(3) 6-2,,,,Maria Irigoyen,ARG,,,Dominique Schaefer,PER
Fed/BJK Cup,2016-02-04,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,6-2 6-1,,,,Nadia Podoroska,ARG,,,Anastasia Iamachkine,PER
Fed/BJK Cup,2016-02-03,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,6-2 6-2,,,,Maria Irigoyen,ARG,,,Charlotte Roemer,ECU
Fed/BJK Cup,2016-02-03,Group I Americas,Clay,Bolivia,Round Robin,Main Draw,6-2 6-1,,,,Nadia Podoroska,ARG,,,Camila Romero,ECU
Fed/BJK Cup,2015-04-19,World Group II - Spain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-1 4-6 9-7,,,,Lara Arruabarrena,ESP,,,Paula Ormaechea,ARG
Fed/BJK Cup,2015-04-19,World Group II - Spain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,4-6 7-6(2) 6-1,,,,Sara Sorribes Tormo,ESP,,,Paula Ormaechea,ARG
Fed/BJK Cup,2015-04-19,World Group II - Spain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,Not Played,,,,Maria Irigoyen,ARG,,,Sara Sorribes Tormo,ESP
Fed/BJK Cup,2015-04-19,World Group II - Spain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-0 6-1,,,,Lara Arruabarrena,ESP,,,Maria Irigoyen,ARG
Fed/BJK Cup,2015-02-08,World Group II - USA vs Argentina,Clay,Argentina,Quarter Finals,Main Draw,6-3 6-2,,,,Venus Williams,USA,,,Paula Ormaechea,ARG
Fed/BJK Cup,2015-02-08,World Group II - USA vs Argentina,Clay,Argentina,Quarter Finals,Main Draw,6-4 6-4,,,,Paula Ormaechea,ARG,,,CoCo Vandeweghe,USA
Fed/BJK Cup,2015-02-08,World Group II - USA vs Argentina,Clay,Argentina,Quarter Finals,Main Draw,7-5 6-0,,,,Serena Williams,USA,,,Maria Irigoyen,ARG
Fed/BJK Cup,2015-02-08,World Group II - USA vs Argentina,Clay,Argentina,Quarter Finals,Main Draw,6-1 6-4,,,,Venus Williams,USA,,,Maria Irigoyen,ARG
Fed/BJK Cup,2014-04-20,World Group - Russia vs Argentina,I.clay,Russia,Quarter Finals,Play-off,7-5 6-1,,,,Ekaterina Makarova,RUS,,,Maria Irigoyen,ARG
Fed/BJK Cup,2014-04-20,World Group - Russia vs Argentina,I.clay,Russia,Quarter Finals,Play-off,6-1 6-2,,,,Ekaterina Makarova,RUS,,,Paula Ormaechea,ARG
Fed/BJK Cup,2014-04-20,World Group - Russia vs Argentina,I.clay,Russia,Quarter Finals,Play-off,6-3 6-3,,,,Elena Vesnina,RUS,,,Paula Ormaechea,ARG
Fed/BJK Cup,2014-04-20,World Group - Russia vs Argentina,I.clay,Russia,Quarter Finals,Play-off,Not Played,,,,Elena Vesnina,RUS,,,Maria Irigoyen,ARG
Fed/BJK Cup,2014-02-09,World Group II - Argentina vs Japan,Clay,Argentina,Quarter Finals,Main Draw,6-2 3-6 6-3,,,,Paula Ormaechea,ARG,,,Misaki Doi,JPN
Fed/BJK Cup,2014-02-09,World Group II - Argentina vs Japan,Clay,Argentina,Quarter Finals,Main Draw,6-7(7) 6-4 6-4,,,,Maria Irigoyen,ARG,,,Kurumi Nara,JPN
Fed/BJK Cup,2014-02-09,World Group II - Argentina vs Japan,Clay,Argentina,Quarter Finals,Main Draw,6-3 6-4,,,,Paula Ormaechea,ARG,,,Kurumi Nara,JPN
Fed/BJK Cup,2014-02-09,World Group II - Argentina vs Japan,Clay,Argentina,Quarter Finals,Main Draw,Not Played,,,,Misaki Doi,JPN,,,Maria Irigoyen,ARG
Fed/BJK Cup,2013-04-21,World Group II - Great Britain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-4 4-6 6-2,,,,Paula Ormaechea,ARG,,,Laura Robson,GBR
Fed/BJK Cup,2013-04-21,World Group II - Great Britain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,7-5 3-6 6-1,,,,Maria Irigoyen,ARG,,,Elena Baltacha,GBR
Fed/BJK Cup,2013-04-21,World Group II - Great Britain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-3 6-2,,,,Paula Ormaechea,ARG,,,Johanna Konta,GBR
Fed/BJK Cup,2013-04-21,World Group II - Great Britain vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-1 6-1,,,,Laura Robson,GBR,,,Florencia Molinero,ARG
Fed/BJK Cup,2013-02-10,World Group II - Argentina vs Sweden,Clay,Argentina,Quarter Finals,Main Draw,6-3 6-2,,,,Johanna Larsson,SWE,,,Florencia Molinero,ARG
Fed/BJK Cup,2013-02-10,World Group II - Argentina vs Sweden,Clay,Argentina,Quarter Finals,Main Draw,6-3 2-6 6-1,,,,Florencia Molinero,ARG,,,Sofia Arvidsson,SWE
Fed/BJK Cup,2013-02-10,World Group II - Argentina vs Sweden,Clay,Argentina,Quarter Finals,Main Draw,6-3 6-0,,,,Paula Ormaechea,ARG,,,Johanna Larsson,SWE
Fed/BJK Cup,2013-02-10,World Group II - Argentina vs Sweden,Clay,Argentina,Quarter Finals,Main Draw,7-5 6-7(6) 3-2,,,,Sofia Arvidsson,SWE,,,Paula Ormaechea,ARG
Fed/BJK Cup,2012-04-22,"World Group II - Argentina vs China, P.R.",Clay,Argentina,Quarter Finals,Play-off,7-6(1) 2-6 6-3,,,,Yi-Miao Zhou,CHN,,,Florencia Molinero,ARG
Fed/BJK Cup,2012-04-22,"World Group II - Argentina vs China, P.R.",Clay,Argentina,Quarter Finals,Play-off,6-2 6-2,,,,Paula Ormaechea,ARG,,,Yi-Miao Zhou,CHN
Fed/BJK Cup,2012-04-22,"World Group II - Argentina vs China, P.R.",Clay,Argentina,Quarter Finals,Play-off,6-3 6-4,,,,Florencia Molinero,ARG,,,Qiang Wang,CHN
Fed/BJK Cup,2012-04-22,"World Group II - Argentina vs China, P.R.",Clay,Argentina,Quarter Finals,Play-off,6-4 6-2,,,,Paula Ormaechea,ARG,,,Qiang Wang,CHN
Fed/BJK Cup,2012-02-04,Group I Americas,Clay,Brazil,Final,Promotion Play-off,3-6 6-2 6-1,,,,Florencia Molinero,ARG,,,Mariana Duque-Marino,COL
Fed/BJK Cup,2012-02-04,Group I Americas,Clay,Brazil,Final,Promotion Play-off,6-2 6-4,,,,Paula Ormaechea,ARG,,,Catalina Castano,COL
Fed/BJK Cup,2012-02-03,Group I Americas,Clay,Brazil,Round Robin,Main Draw,7-5 6-4,,,,Florencia Molinero,ARG,,,Patricia Ku Flores,PER
Fed/BJK Cup,2012-02-03,Group I Americas,Clay,Brazil,Round Robin,Main Draw,6-1 6-0,,,,Paula Ormaechea,ARG,,,Ferny Angeles Paz,PER
Fed/BJK Cup,2012-02-02,Group I Americas,Clay,Brazil,Round Robin,Main Draw,7-5 6-4,,,,Paula Ormaechea,ARG,,,Aleksandra Wozniak,CAN
Fed/BJK Cup,2012-02-02,Group I Americas,Clay,Brazil,Round Robin,Main Draw,6-2 6-2,,,,Florencia Molinero,ARG,,,Stephanie Dubois,CAN
Fed/BJK Cup,2012-02-01,Group I Americas,Clay,Brazil,Round Robin,Main Draw,6-3 6-0,,,,Paula Ormaechea,ARG,,,Larikah Russell,BAH
Fed/BJK Cup,2012-02-01,Group I Americas,Clay,Brazil,Round Robin,Main Draw,6-2 6-0,,,,Florencia Molinero,ARG,,,Simone Pratt,BAH
Fed/BJK Cup,2011-07-17,World Group II - Japan vs Argentina,I.hard,Japan,Quarter Finals,Play-off,6-2 6-3,,,,Ayumi Morita,JPN,,,Mailen Auroux,ARG
Fed/BJK Cup,2011-07-17,World Group II - Japan vs Argentina,I.hard,Japan,Quarter Finals,Play-off,6-0 6-0,,,,Misaki Doi,JPN,,,Maria Irigoyen,ARG
Fed/BJK Cup,2011-07-17,World Group II - Japan vs Argentina,I.hard,Japan,Quarter Finals,Play-off,6-2 6-1,,,,Ayumi Morita,JPN,,,Aranza Salut,ARG
Fed/BJK Cup,2011-07-17,World Group II - Japan vs Argentina,I.hard,Japan,Quarter Finals,Play-off,Not Played,,,,Mailen Auroux,ARG,,,Misaki Doi,JPN
Fed/BJK Cup,2011-02-05,Group I Americas,Clay,Argentina,Final,Promotion Play-off,6-0 6-0,,,,Gisela Dulko,ARG,,,Mariana Duque-Marino,COL
Fed/BJK Cup,2011-02-05,Group I Americas,Clay,Argentina,Final,Promotion Play-off,7-6(5) 6-1,,,,Florencia Molinero,ARG,,,Catalina Castano,COL
Fed/BJK Cup,2011-02-04,Group I Americas,Clay,Argentina,Round Robin,Main Draw,6-2 6-3,,,,Florencia Molinero,ARG,,,Patricia Ku Flores,PER
Fed/BJK Cup,2011-02-04,Group I Americas,Clay,Argentina,Round Robin,Main Draw,6-0 6-3,,,,Gisela Dulko,ARG,,,Bianca Botto,PER
Fed/BJK Cup,2011-02-03,Group I Americas,Clay,Argentina,Round Robin,Main Draw,6-7(5) 6-1 6-3,,,,Florencia Molinero,ARG,,,Montserrat Gonzalez,PAR
Fed/BJK Cup,2011-02-03,Group I Americas,Clay,Argentina,Round Robin,Main Draw,6-4 6-2,,,,Veronica Cepede Royg,PAR,,,Maria Irigoyen,ARG
Fed/BJK Cup,2011-02-02,Group I Americas,Clay,Argentina,Round Robin,Main Draw,6-4 6-3,,,,Florencia Molinero,ARG,,,Maria Ines Deheza,BOL
Fed/BJK Cup,2011-02-02,Group I Americas,Clay,Argentina,Round Robin,Main Draw,7-5 6-0,,,,Maria Irigoyen,ARG,,,Maria-Fernanda Alvarez-Teran,BOL
Fed/BJK Cup,2010-04-25,World Group II - Argentina vs Canada,I.carpet,Canada,Quarter Finals,Play-off,6-4 6-2,,,,Aleksandra Wozniak,CAN,,,Paula Ormaechea,ARG
Fed/BJK Cup,2010-04-25,World Group II - Argentina vs Canada,I.carpet,Canada,Quarter Finals,Play-off,6-4 6-3,,,,Valerie Tetreault,CAN,,,Jorgelina Cravero,ARG
Fed/BJK Cup,2010-04-25,World Group II - Argentina vs Canada,I.carpet,Canada,Quarter Finals,Play-off,6-7(6) 6-1 6-1,,,,Valerie Tetreault,CAN,,,Paula Ormaechea,ARG
Fed/BJK Cup,2010-04-25,World Group II - Argentina vs Canada,I.carpet,Canada,Quarter Finals,Play-off,6-4 6-4,,,,Aleksandra Wozniak,CAN,,,Jorgelina Cravero,ARG
Fed/BJK Cup,2010-02-07,World Group II - Estonia vs Argentina,I.hard,Estonia,Quarter Finals,Main Draw,6-1 6-2,,,,Maret Ani,EST,,,Maria Irigoyen,ARG
Fed/BJK Cup,2010-02-07,World Group II - Estonia vs Argentina,I.hard,Estonia,Quarter Finals,Main Draw,6-2 6-3,,,,Maret Ani,EST,,,Paula Ormaechea,ARG
Fed/BJK Cup,2010-02-07,World Group II - Estonia vs Argentina,I.hard,Estonia,Quarter Finals,Main Draw,6-1 6-1,,,,Kaia Kanepi,EST,,,Aranza Salut,ARG
Fed/BJK Cup,2010-02-07,World Group II - Estonia vs Argentina,I.hard,Estonia,Quarter Finals,Main Draw,6-1 7-5,,,,Kaia Kanepi,EST,,,Paula Ormaechea,ARG
Fed/BJK Cup,2009-04-26,World Group - Argentina vs Ukraine,Clay,Argentina,Quarter Finals,Play-off,6-3 6-3,,,,Alona Bondarenko,UKR,,,Maria Irigoyen,ARG
Fed/BJK Cup,2009-04-26,World Group - Argentina vs Ukraine,Clay,Argentina,Quarter Finals,Play-off,4-6 7-5 6-2,,,,Mariya Koryttseva,UKR,,,Jorgelina Cravero,ARG
Fed/BJK Cup,2009-04-26,World Group - Argentina vs Ukraine,Clay,Argentina,Quarter Finals,Play-off,6-2 6-1,,,,Olga Savchuk,UKR,,,Aranza Salut,ARG
Fed/BJK Cup,2009-04-26,World Group - Argentina vs Ukraine,Clay,Argentina,Quarter Finals,Play-off,6-1 6-2,,,,Alona Bondarenko,UKR,,,Jorgelina Cravero,ARG
Fed/BJK Cup,2009-02-08,World Group - Argentina vs USA,Hard,United States,Quarter Finals,Main Draw,2-6 6-1 6-2,,,,Melanie Oudin,USA,,,Betina Jozami,ARG
Fed/BJK Cup,2009-02-08,World Group - Argentina vs USA,Hard,United States,Quarter Finals,Main Draw,6-2 7-5,,,,Gisela Dulko,ARG,,,Melanie Oudin,USA
Fed/BJK Cup,2009-02-08,World Group - Argentina vs USA,Hard,United States,Quarter Finals,Main Draw,6-2 6-1,,,,Jill Craybas,USA,,,Betina Jozami,ARG
Fed/BJK Cup,2009-02-08,World Group - Argentina vs USA,Hard,United States,Quarter Finals,Main Draw,6-1 6-3,,,,Gisela Dulko,ARG,,,Jill Craybas,USA
Fed/BJK Cup,2008-04-27,World Group - Germany vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-2 6-4,,,,Gisela Dulko,ARG,,,Martina Muller,GER
Fed/BJK Cup,2008-04-27,World Group - Germany vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-3 6-1,,,,Betina Jozami,ARG,,,Angelique Kerber,GER
Fed/BJK Cup,2008-04-27,World Group - Germany vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-2 6-2,,,,Gisela Dulko,ARG,,,Sabine Lisicki,GER
Fed/BJK Cup,2008-04-27,World Group - Germany vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-1 6-0,,,,Martina Muller,GER,,,Jorgelina Cravero,ARG
Fed/BJK Cup,2008-02-03,World Group II - Argentina vs Austria,Clay,Argentina,Quarter Finals,Main Draw,2-6 6-3 7-5,,,,Melanie Klaffner,AUT,,,Maria-Emilia Salerni,ARG
Fed/BJK Cup,2008-02-03,World Group II - Argentina vs Austria,Clay,Argentina,Quarter Finals,Main Draw,7-5 3-6 6-2,,,,Maria-Emilia Salerni,ARG,,,Patricia Mayr-Achleitner,AUT
Fed/BJK Cup,2008-02-03,World Group II - Argentina vs Austria,Clay,Argentina,Quarter Finals,Main Draw,7-6(4) 6-3,,,,Jorgelina Cravero,ARG,,,Yvonne Meusburger-Garamszegi,AUT
Fed/BJK Cup,2008-02-03,World Group II - Argentina vs Austria,Clay,Argentina,Quarter Finals,Main Draw,6-4 6-4,,,,Jorgelina Cravero,ARG,,,Melanie Klaffner,AUT
Fed/BJK Cup,2007-07-15,World Group II - Canada vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-3 6-4,,,,Maria-Emilia Salerni,ARG,,,Aleksandra Wozniak,CAN
Fed/BJK Cup,2007-07-15,World Group II - Canada vs Argentina,Clay,Argentina,Quarter Finals,Play-off,7-5 6-4,,,,Gisela Dulko,ARG,,,Marie-Eve Pelletier,CAN
Fed/BJK Cup,2007-07-15,World Group II - Canada vs Argentina,Clay,Argentina,Quarter Finals,Play-off,0-6 6-2 6-2,,,,Aleksandra Wozniak,CAN,,,Gisela Dulko,ARG
Fed/BJK Cup,2007-07-15,World Group II - Canada vs Argentina,Clay,Argentina,Quarter Finals,Play-off,6-4 6-1,,,,Maria-Emilia Salerni,ARG,,,Stephanie Dubois,CAN
Fed/BJK Cup,2007-04-21,Group I Americas,Clay,Argentina,Final,Play-off,6-1 6-2,,,,Gisela Dulko,ARG,,,Jenifer Widjaja,BRA
Fed/BJK Cup,2007-04-21,Group I Americas,Clay,Argentina,Final,Play-off,6-2 6-3,,,,Jorgelina Cravero,ARG,,,Maria-Fernanda Alves,BRA
Fed/BJK Cup,2007-04-20,Group I Americas,Clay,Argentina,Round Robin,Main Draw,7-5 6-4,,,,Gisela Dulko,ARG,,,Catalina Castano,COL
