tieId,tieName,matchId,dateMatch,result,winnerName,winnerCountry,loserName,loserCountry
d5e8e948-2191-4929-9bdd-443d6f7c6d21,W-FC-2005-G2-AM-A-M-CHI-DOM-01,30531042-5882-40d6-af0a-eee5ae94c56c,2005-04-21T00:00:00.000Z,6-2 6-2,Andrea Koch-Benvenuto,CHI,Chandra Capozzi,DOM
d5e8e948-2191-4929-9bdd-443d6f7c6d21,W-FC-2005-G2-AM-A-M-CHI-DOM-01,b0cfa4dd-e02b-433b-a3f8-6608137081f9,2005-04-21T00:00:00.000Z,6-4 6-2,Valentina Castro,CHI,Francesca Segarelli,DOM
d3b93073-02e3-440e-afd0-a4d893963552,W-FC-2005-G2-AM-A-M-CHI-COL-01,1022bafb-a1db-4e48-8751-a8d2635a6785,2005-04-22T00:00:00.000Z,6-4 6-2,Catalina Castano,COL,Valentina Castro,CHI
d3b93073-02e3-440e-afd0-a4d893963552,W-FC-2005-G2-AM-A-M-CHI-COL-01,4ca9e04d-ac92-4ffe-ba63-fb938580c8d5,2005-04-22T00:00:00.000Z,6-2 6-4,Valentina Castro / Andrea Koch-Benvenuto,CHI,Mariana Duque-Marino / Catalina Castano,COL
d3b93073-02e3-440e-afd0-a4d893963552,W-FC-2005-G2-AM-A-M-CHI-COL-01,81d7c5fc-a798-4c16-b958-9ed552ba76f7,2005-04-22T00:00:00.000Z,7-6(3) 6-0,Andrea Koch-Benvenuto,CHI,Mariana Duque-Marino,COL
9f46e31f-27f0-49c3-9fcc-e4bcd0dff6cd,W-FC-2005-G2-AM-A-M-DOM-VEN-01,30160476-0d63-4ec9-95dc-e8cb3f2d1ce0,2005-04-22T00:00:00.000Z,2-6 6-1 6-1,Francesca Segarelli,DOM,Avel-Romaly Coronado,VEN
9f46e31f-27f0-49c3-9fcc-e4bcd0dff6cd,W-FC-2005-G2-AM-A-M-DOM-VEN-01,79d61eef-4832-4465-b1bb-8780942033a7,2005-04-22T00:00:00.000Z,5-7 6-4 6-3,Chandra Capozzi,DOM,Mariaryeni Gutierrez,VEN
9f46e31f-27f0-49c3-9fcc-e4bcd0dff6cd,W-FC-2005-G2-AM-A-M-DOM-VEN-01,cda37c81-f953-4998-8ed1-0359d512a69a,2005-04-22T00:00:00.000Z,6-4 7-5,Avel-Romaly Coronado / Briggitt Marcovich,VEN,Natalia Baez / Kristel Izquierdo,DOM
3540da59-d844-4f9e-a5af-ff5ec014d726,W-FC-2005-G2-AM-A-M-COL-DOM-01,93d16005-f2da-43b6-bb1f-df7f98db9b33,2005-04-23T00:00:00.000Z,6-1 6-1,Karen Castiblanco,COL,Chandra Capozzi,DOM
3540da59-d844-4f9e-a5af-ff5ec014d726,W-FC-2005-G2-AM-A-M-COL-DOM-01,ba3a3072-402e-4889-ad21-31c91147d6cf,2005-04-23T00:00:00.000Z,6-0 6-2,Catalina Castano,COL,Francesca Segarelli,DOM
3540da59-d844-4f9e-a5af-ff5ec014d726,W-FC-2005-G2-AM-A-M-COL-DOM-01,d4ebed26-1057-47ca-89bc-52a61fb23fb5,2005-04-23T00:00:00.000Z,6-4 6-2,Mariana Duque-Marino / Gabriela Mejia-Tenorio,COL,Natalia Baez / Francesca Segarelli,DOM
698fa816-9b2d-4319-9842-16c9c2d60904,W-FC-2005-G2-AM-A-M-CHI-VEN-01,a79fb9e3-97b6-4bf1-8934-76f6e8f4ada7,2005-04-23T00:00:00.000Z,6-1 6-2,Andrea Koch-Benvenuto,CHI,Briggitt Marcovich,VEN
