display_name,wta_id,itf_id,alias_record_found,raw_name_variants,first_unmatched_match_date,last_unmatched_match_date,unmatched_match_count,source_files,example_tournaments,example_ranking_week_dates
Mónica Gómez,,800203888,yes,Monica Gomez,1996-09-16,1996-09-16,2,itf_matches_arg.csv,"$10,000 Asuncion",1996-09-16
Mónica Maricel Canevaro,,800663950,yes,Monica Maricel Canevaro,2000-08-21,2000-09-11,2,itf_matches_arg.csv,"$10,000 Buenos Aires",2000-08-21 | 2000-09-11
Naoko Sawamatsu,,800179485,yes,Naoko Sawamatsu,1990-08-27,1997-10-20,10,gs_matches_arg.csv | wta_matches_arg.csv,Campionati Internazionali d'Italia - Rome | Japan Open - Tokyo | Lipton International Players Championships - Key Biscayne | Lufthansa Cup - Berlin | Peters International - Sydney,1990-08-27 | 1991-03-12 | 1991-05-13 | 1993-05-03 | 1994-04-04
Natalia Rojas,,800210749,yes,Natalia Rojas,1998-04-06,1998-04-06,1,itf_matches_arg.csv,"$10,000 Vina Del Mar",1998-04-06
Nathalie Guerree-Spitzer,,800179035,yes,Nathalie Guerree-Spitzer,1988-07-18,1988-07-18,1,wta_matches_arg.csv,WTA Aix-en-Provence Open - Aix-en-Provence,1988-07-18
Nathalie Herreman--Bagby,,800178012,yes,Nathalie Herreman--Bagby,1984-05-21,1993-02-01,8,gs_matches_arg.csv | wta_matches_arg.csv,Amway Classic - Auckland | Belgian Ladies Open - Knokke-Le-Zoute | Ellesse Grand Prix - Perugia | International Championships of Spain - Barcelona | Internationaux de Strasbourg - Strasbourg,1984-05-21 | 1986-07-07 | 1987-07-06 | 1988-07-18 | 1990-05-28
Nathalie Housset-Gilbert,,800178524,yes,Nathalie Housset-Gilbert,1991-03-18,1991-03-18,1,wta_matches_arg.csv,Lipton International Players Championships - Key Biscayne,1991-03-12
Nelida Zilverbarg,,800225074,yes,Nelida Zilverbarg,2000-09-18,2000-09-18,1,itf_matches_arg.csv,"$10,000 ASUNCION",2000-09-18
Nicole Bimes,,800174992,yes,Nicole Bimes,1970-05-18,1970-05-18,1,gs_matches_arg.csv,Roland Garros,
Nicole Krijger-Jagerman,,800179141,yes,Nicole Krijger-Jagerman,1986-12-01,1995-05-16,11,gs_matches_arg.csv | wta_matches_arg.csv,Buenos Aires | Clarins Open - Paris | Ilva Trophy - Taranto | Internazionali Femminili di Palermo - Palermo | Italian Open - Rome,1986-12-01 | 1988-07-18 | 1990-05-14 | 1991-07-08 | 1991-09-16
Ninel Barkan,,800186584,yes,Ninel Barkan,1996-07-22,1996-07-22,1,itf_matches_arg.csv,"$25,000 Rostock",1996-07-22
Noelia Serra-Djamdjean,,800192106,yes,Noelia Serra-Djamdjean,1996-05-21,1998-04-15,5,itf_matches_arg.csv | wta_matches_arg.csv,"$10,000 Galatina | $10,000 Koksijde | $25,000 Getxo | $25,000 Reims | Open Paginas Amarillas - Madrid",1996-05-20 | 1997-03-17 | 1997-07-14 | 1997-08-11 | 1998-04-13
Olga Gorzelak,,800192759,yes,Olga Gorzelak,1997-10-27,1997-10-27,1,itf_matches_arg.csv,"$25,000 Mogi Das Cruzes",1997-10-27
Olivia Tudor,,800213493,yes,Olivia Tudor,2000-04-07,2000-04-07,1,itf_matches_arg.csv,"$10,000 Cavtat",2000-04-03
Paola Pitta,,800214044,yes,Paola Pitta,1998-10-05,1998-10-05,1,itf_matches_arg.csv,"$10,000 Montevideo",1998-10-05
Paola Trezza,,800224380,yes,Paola Trezza,2000-08-21,2000-08-28,3,itf_matches_arg.csv,"$10,000 Buenos Aires",2000-08-21 | 2000-08-28
Patricia Gomez,,800176664,yes,Patricia Gomez,1978-10-30,1978-10-30,1,wta_matches_arg.csv,Rio de La Plata Championships - Buenos Aires,
Patricia Medrado,,800176063,yes,Patricia Medrado,1978-10-30,1988-04-25,10,gs_matches_arg.csv | wta_matches_arg.csv,Brazilian Open - Guarujá | Family Circle Cup - Hilton Head Island | International Championships of Spain - Barcelona | Italian Open - Perugia | Rio de La Plata Championships - Buenos Aires,1983-08-29 | 1985-04-08 | 1986-09-22 | 1987-08-31 | 1987-12-07
Patricia Rogulski,,800193030,yes,Patricia Rogulski,1997-11-17,1997-11-17,2,itf_matches_arg.csv,"$10,000 Sao Paulo",1997-11-17
Paula Alonso,,800203752,yes,Paula Alonso,1996-09-09,1996-09-09,2,itf_matches_arg.csv,"$10,000 Buenos Aires",1996-09-09
Paula Ciriliano,,800103180,yes,Paula Ciriliano,1996-02-05,1996-02-05,1,itf_matches_arg.csv,"$50,000 Mar Del Plata",1996-02-05
