matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
WTA,RS001,2022-12-30,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-2 6-1,,312121,,,Alize Cornet,FRA,322638,,,Maria Carle,ARG
WTA,RS002,2022-12-30,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-2 6-0,,315391,,,Caroline Garcia,FRA,319112319112,,,Nadia Podoroska,ARG
WTA,RS003,2023-01-01,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-0 6-4,,318516,,,Donna Vekic,CRO,322638,,,Maria Carle,ARG
WTA,RS004,2023-01-01,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-2 6-0,,313711,,,Petra Martic,CRO,319112,,,Nadia Podoroska,ARG
WTA,RS001,2024-12-28,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-2 6-4,,319112,,,Nadia Podoroska,ARG,326653,,,Olivia Gadecki,AUS
WTA,RS002,2024-12-30,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-2 6-3,,319125,,,Katie Boulter,GBR,319112,,,Nadia Podoroska,ARG
WTA,RS001,2026-01-02,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-4 5-7 6-0,,329081,,,Solana Sierra,ARG,328139,,,Jessica Bouzas Maneiro,ESP
WTA,RS002,2026-01-03,9999,United Cup,WTA 500,Hard,O,AUS,Round Robin,M,6-1 6-1,,328560,,,Coco Gauff,USA,329081,,,Solana Sierra,ARG
WTA,RS002,2026-01-03,9999,United Cup,WTA 500,Hard,O,AUS,Quarter Finals,M,6-2 6-2,,319001,,,Belinda Bencic,SUI,329081,,,Solana Sierra,ARG
