matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
Fed/BJK Cup,afe3798a-f182-43b0-8dcd-5398b41e3ab6,2020-02-05,W-FC-2021-G1-AM-B-M-ARG-MEX-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Round Robin,Main Draw,6-2 6-0,,e3930397-9159-45a2-9ba4-f72e6d0c406e,,,Nadia Podoroska,ARG,52ac18b3-54de-4a1b-9e1a-715c135b2ff5,,,Fernanda Contreras Gomez,MEX
Fed/BJK Cup,0f98f79d-3fec-4dec-aef2-7e9ca422048a,2020-02-06,W-FC-2021-G1-AM-B-M-ARG-CHI-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Round Robin,Main Draw,6-2 6-3,,0fb57187-f7b1-4186-b5aa-53891bf09e8f,,,Nadia Podoroska,ARG,cdb3393a-75b0-4eba-b641-5ce4e936b579,,,Barbara Gatica,CHI
Fed/BJK Cup,a07c5e01-3019-4ad3-80d4-5b4741a332d4,2020-02-06,W-FC-2021-G1-AM-B-M-ARG-CHI-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Round Robin,Main Draw,6-3 6-3,,500592b8-c2bf-49a8-b47e-33ab82feac07,,,Paula Ormaechea,ARG,0c476346-6099-46e1-902b-7bde9cb57353,,,Daniela Seguel,CHI
Fed/BJK Cup,21ca7b37-314a-49db-b08f-798ab38b25a7,2020-02-07,W-FC-2021-G1-AM-B-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Round Robin,Main Draw,7-5 6-1,,96a222c8-cd3c-4cc1-a772-14ba53012c14,,,Victoria Bosio,ARG,00321222-31f0-405c-b5cf-9fdc07b6dca7,,,Daianne Hayashida,PER
Fed/BJK Cup,28a24c9a-0b27-43dc-87db-83a58b4463a3,2020-02-07,W-FC-2021-G1-AM-B-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Round Robin,Main Draw,6-1 6-1,,2eb11046-66da-4214-80e3-859229cfce84,,,Paula Ormaechea,ARG,c44ae90d-de82-4668-bf6f-267f1892c68b,,,Romina Ccuno,PER
Fed/BJK Cup,0c27d105-4f5e-4b0e-8c67-df3144b7b10f,2020-02-08,W-FC-2021-G1-AM-PPO-ARG-COL-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Semi Finals,Promotion Play-off,7-5 6-2,,f8a47778-f2bc-4a53-aaf9-83caf3df1b5b,,,Nadia Podoroska,ARG,e9b638c0-cfea-49ea-808a-7673e1b03c46,,,Emiliana Arango,COL
Fed/BJK Cup,3ae26557-af58-480d-aad6-705324dcf8ca,2020-02-08,W-FC-2021-G1-AM-PPO-ARG-COL-01,Group I Americas,Fed/BJK Cup,Clay,O,Chile,Semi Finals,Promotion Play-off,6-4 6-4,,dd134627-3d9e-4b89-9eea-0a4554d39837,,,Paula Ormaechea,ARG,3b95ed7d-60df-4ec6-b789-6eae09bf25c9,,,Camila Osorio Serrano,COL
Fed/BJK Cup,2fb3cccb-8a42-4e8c-a409-d8e69fb3c540,2021-04-17,W-FC-2021-POS-M-KAZ-ARG-01,Play-Offs - Kazakhstan vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-7(3) 7-6(3),,33e6d7aa-0da0-472e-98a2-29249c794453,,,Maria Lourdes Carle,ARG,848a2992-3e82-458c-8d4f-92ed9c020483,,,Yulia Putintseva,KAZ
Fed/BJK Cup,9aa23e1d-9d88-440b-ae8d-5eec26b63187,2021-04-17,W-FC-2021-POS-M-KAZ-ARG-01,Play-Offs - Kazakhstan vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,2-6 6-4 6-0,,9f17a9a6-99f0-4871-9ee1-59ea816b601d,,,Yulia Putintseva,KAZ,6ef4b00b-06d8-4899-82fb-973ea687f3b3,,,Nadia Podoroska,ARG
Fed/BJK Cup,9dcf0bad-3ff4-44b3-987b-ee0137528c02,2021-04-17,W-FC-2021-POS-M-KAZ-ARG-01,Play-Offs - Kazakhstan vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-4 6-4,,f0b5870f-08ba-49c3-9a15-1616150fcada,,,Elena Rybakina,KAZ,ff68f4f2-26a3-4bbd-b840-4a8a1decf76d,,,Nadia Podoroska,ARG
Fed/BJK Cup,afaf4ace-79f9-45e6-96ab-c4272c40d063,2021-04-17,W-FC-2021-POS-M-KAZ-ARG-01,Play-Offs - Kazakhstan vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-4 3-6 6-0,,512b456d-4c11-40d9-811f-98411d8de3e9,,,Maria Lourdes Carle,ARG,577d2e6b-c8ee-44cc-96c9-65b217b94f53,,,Elena Rybakina,KAZ
Fed/BJK Cup,2659b11e-540a-41c6-8990-569521542996,2022-04-13,W-FC-2022-G1-AM-A-M-ARG-COL-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,6-2 6-3,,69e0044a-2c67-4dc0-8d0d-08182c7eda4a,,,Solana Sierra,ARG,11b145a0-33c4-4d55-b275-78b5a2757cf8,,,Yuliana Lizarazo,COL
Fed/BJK Cup,f9a1b15c-5eb9-4d52-96de-d5a821cef49e,2022-04-13,W-FC-2022-G1-AM-A-M-ARG-COL-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,3-6 7-5 6-2,,4a29febb-8456-4923-a091-7691cfe4cc71,,,Maria Lourdes Carle,ARG,c9ed4f32-2561-480d-a731-e6fa4e2075ee,,,Maria Herazo,COL
Fed/BJK Cup,50324926-548c-491f-b0c0-582fd555552d,2022-04-14,W-FC-2022-G1-AM-A-M-BRA-ARG-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,7-6(1) 4-6 7-6(12),,9b0e5df3-318f-4343-b653-e9204ae95608,,,Solana Sierra,ARG,4def2fd7-74c2-447f-8264-e7cef4dea065,,,Laura Pigossi,BRA
Fed/BJK Cup,e7261855-70e0-49fa-b72b-0f007f0e5f08,2022-04-14,W-FC-2022-G1-AM-A-M-BRA-ARG-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,6-7(10) 6-3 7-6(5),,33746aa3-03aa-48d1-a4be-8e659a86f36b,,,Beatriz Haddad Maia,BRA,3e553a52-6ecb-494f-b3fc-6b559728d578,,,Maria Lourdes Carle,ARG
Fed/BJK Cup,68557a00-2c42-4b83-a0f3-59cfbab9a285,2022-04-15,W-FC-2022-G1-AM-A-M-ARG-GUA-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,6-4 6-0,,9738aa61-a0da-4a09-9416-5b589486102e,,,Solana Sierra,ARG,8b9c9b60-3cc2-48b8-bfbe-11a81da7f6d7,,,Melissa Morales,GUA
