matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
WTA,LS001,2009-03-29,0902,Sony Ericsson Open - Miami,WTA,Hard,O,United States,3rd Round,M,6-3 6-2,,506,,,Iveta Benesova,CZE,446,,,Gisela Dulko,ARG
WTA,LS002,2009-03-28,0902,Sony Ericsson Open - Miami,WTA,Hard,O,United States,2nd Round,M,6-4 7-6(5),,446,,,Gisela Dulko,ARG,444,,,Jelena Jankovic,SRB
WTA,LS003,2009-03-26,0902,Sony Ericsson Open - Miami,WTA,Hard,O,United States,1st Round,M,6-2 6-4,,446,,,Gisela Dulko,ARG,400,,,Lourdes Dominguez-Lino,ESP
WTA,LS001,2009-03-16,0609,BNP Paribas Open - Indian Wells,WTA,Hard,O,United States,3rd Round,M,6-3 6-3,,4227,,,Ana Ivanovic,SRB,446,,,Gisela Dulko,ARG
WTA,LS002,2009-03-14,0609,BNP Paribas Open - Indian Wells,WTA,Hard,O,United States,2nd Round,M,6-1 6-3,,446,,,Gisela Dulko,ARG,448,,,Bethanie Mattek-Sands,USA
WTA,RS001,2009-03-09,0609,BNP Paribas Open - Indian Wells,WTA,Hard,O,United States,QR1,Q,6-4 1-6 6-4,,985,,,Petra Cetkovska,CZE,5453,,,Betina Jozami,ARG
WTA,LS001,2009-03-06,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,Quarter-finals,M,6-3 6-2,,549,,,Jie Zheng,CHN,446,,,Gisela Dulko,ARG
WTA,LS002,2009-03-04,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,2nd Round,M,6-2 6-4,,446,,,Gisela Dulko,ARG,3735,,,Mariya Koryttseva,UKR
WTA,LS003,2009-03-02,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,1st Round,M,6-4 7-5,,446,,,Gisela Dulko,ARG,52,,,Nathalie Dechy,FRA
WTA,RS001,2009-03-02,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,QR3,Q,6-3 2-6 6-2,,6933,,,Arantxa Rus,NED,5453,,,Betina Jozami,ARG
WTA,RS002,2009-03-01,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,QR2,Q,6-1 6-1,,5453,,,Betina Jozami,ARG,5604,,,Tamira Paszek,AUT
WTA,RS003,2009-02-28,1039,Monterrey Open - Monterrey,WTA,Hard,O,Mexico,QR1,Q,3-6 6-3 6-2,,5453,,,Betina Jozami,ARG,8233,,,Alejandra Granillo,MEX
WTA,LS001,2009-02-25,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,2nd Round,M,7-6(6) 6-3,,530,,,Maret Ani,EST,446,,,Gisela Dulko,ARG
WTA,LS002,2009-02-24,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,1st Round,M,6-3 6-2,,446,,,Gisela Dulko,ARG,6536,,,Raluca Olaru,ROU
WTA,RS001,2009-02-22,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,QR2,Q,6-2 6-1,,940,,,Arantxa Parra-Santonja,ESP,5453,,,Betina Jozami,ARG
WTA,RS002,2009-02-21,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,QR1,Q,6-3 6-2,,5248,,,Agnes Szavay,HUN,421,,,Maria-Emilia Salerni,ARG
WTA,RS003,2009-02-21,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,QR1,Q,3-6 6-4 7-5,,940,,,Arantxa Parra-Santonja,ESP,5256,,,Soledad Esperon,ARG
WTA,RS004,2009-02-21,1002,Abierto Mexicano TELCEL presentado por HSBC - Acapulco,WTA,Clay,O,Mexico,QR1,Q,6-2 6-4,,5453,,,Betina Jozami,ARG,6119,,,Silvia Soler-Espinosa,ESP
WTA,LS001,2009-02-22,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,Final,M,6-3 6-2,,438,,,Maria-Jose Martinez Sanchez,ESP,446,,,Gisela Dulko,ARG
WTA,LS002,2009-02-21,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,Semi-finals,M,6-2 6-3,,446,,,Gisela Dulko,ARG,532,,,Edina Gallovits,ROU
WTA,LS003,2009-02-20,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,Quarter-finals,M,6-1 6-2,,446,,,Gisela Dulko,ARG,3747,,,Mathilde Johansson,FRA
WTA,LS004,2009-02-20,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,Quarter-finals,M,6-3 6-7(6) 6-4,,438,,,Maria-Jose Martinez Sanchez,ESP,5453,,,Betina Jozami,ARG
WTA,LS005,2009-02-19,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,2nd Round,M,5-7 6-1 6-3,,446,,,Gisela Dulko,ARG,376,,,Rosana De Los Rios,PAR
WTA,LS006,2009-02-19,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,2nd Round,M,4-0 ret.,Retired,5453,,,Betina Jozami,ARG,5873,,,Carla Suarez Navarro,ESP
WTA,LS007,2009-02-17,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,1st Round,M,5-7 6-2 7-5,,530,,,Maret Ani,EST,421,,,Maria-Emilia Salerni,ARG
WTA,LS008,2009-02-17,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,1st Round,M,5-7 6-0 6-1,,5453,,,Betina Jozami,ARG,6125,,,Mariana Duque-Marino,COL
WTA,LS009,2009-02-17,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,1st Round,M,6-2 6-4,,446,,,Gisela Dulko,ARG,8930,,,Tamaryn Hendler,BEL
WTA,RS001,2009-02-16,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR3,Q,6-4 6-2,,378,,,Katalin Marosi,HUN,5256,,,Soledad Esperon,ARG
WTA,RS002,2009-02-15,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR2,Q,6-2 6-0,,5256,,,Soledad Esperon,ARG,6122,,,Karen-Emelia Castiblanco-Duarte,COL
WTA,RS003,2009-02-15,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR2,Q,6-0 6-1,,261,,,Tzipi Obziler,ISR,6607,,,Vanesa Furlanetto,ARG
WTA,RS004,2009-02-15,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR2,Q,6-2 6-2,,4117,,,Johanna Larsson,SWE,9024,,,Carla Beltrami,ARG
WTA,RS005,2009-02-14,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR1,Q,6-3 7-5,,5256,,,Soledad Esperon,ARG,450,,,Nathalie Vierin,ITA
WTA,RS006,2009-02-14,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR1,Q,7-5 6-1,,6607,,,Vanesa Furlanetto,ARG,6242,,,Eloisa-Maria Compostizo-De Andres,ESP
WTA,RS007,2009-02-14,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR1,Q,7-5 6-4,,261,,,Tzipi Obziler,ISR,8912,,,Tatiana Bua,ARG
WTA,RS008,2009-02-14,0894,Copa Colsanitas - Bogota,WTA,Clay,O,Colombia,QR1,Q,7-5 6-4,,9024,,,Carla Beltrami,ARG,10025,,,Yuliana Lizarazo,COL
WTA,LS001,2009-01-14,1050,Moorilla Hobart International - Hobart,WTA,Hard,O,Australia,Quarter-finals,M,6-4 6-4,,506,,,Iveta Benesova,CZE,446,,,Gisela Dulko,ARG
WTA,LS002,2009-01-13,1050,Moorilla Hobart International - Hobart,WTA,Hard,O,Australia,2nd Round,M,6-3 6-3,,446,,,Gisela Dulko,ARG,549,,,Jie Zheng,CHN
WTA,LS003,2009-01-12,1050,Moorilla Hobart International - Hobart,WTA,Hard,O,Australia,1st Round,M,6-2 6-3,,446,,,Gisela Dulko,ARG,5369,,,Stefanie Voegele,SUI
WTA,RS001,2009-01-10,1050,Moorilla Hobart International - Hobart,WTA,Hard,O,Australia,QR2,Q,6-3 6-1,,4176,,,Alla Kudryavtseva,RUS,5453,,,Betina Jozami,ARG
WTA,RS002,2009-01-09,1050,Moorilla Hobart International - Hobart,WTA,Hard,O,Australia,QR1,Q,3-6 7-6(5) 6-4,,5453,,,Betina Jozami,ARG,8686,,,Anna Wishink,AUS
WTA,RS001,2009-01-03,1049,ASB Classic - Auckland,WTA,Hard,O,New Zealand,QR2,Q,6-2 6-4,,463,,,Alberta Brianti,ITA,950,,,Jorgelina Cravero,ARG
WTA,RS002,2009-01-03,1049,ASB Classic - Auckland,WTA,Hard,O,New Zealand,QR1,Q,6-3 2-6 7-6(3),,950,,,Jorgelina Cravero,ARG,5369,,,Stefanie Voegele,SUI
WTA,RS003,2009-01-03,1049,ASB Classic - Auckland,WTA,Hard,O,New Zealand,QR1,Q,6-3 6-0,,463,,,Alberta Brianti,ITA,5453,,,Betina Jozami,ARG
WTA,RS001,2008-10-25,0656,Bell Challenge - Quebec City,WTA,I.hard,I,Canada,QR1,Q,6-3 4-6 7-6(5),,33,,,Brenda Schultz-Mccarthy,NED,5453,,,Betina Jozami,ARG
WTA,LS001,2008-10-23,0300,FORTIS Championships Luxembourg - Luxembourg,WTA,I.hard,I,Luxembourg,2nd Round,M,6-2 6-2,,242,,,Elena Dementieva,RUS,446,,,Gisela Dulko,ARG
WTA,LS002,2008-10-21,0300,FORTIS Championships Luxembourg - Luxembourg,WTA,I.hard,I,Luxembourg,1st Round,M,6-4 6-2,,446,,,Gisela Dulko,ARG,280,,,Tathiana Garbin,ITA
WTA,LS001,2008-09-30,1056,AIG Japan Open Tennis Championships 2008 - Tokyo,WTA,Hard,O,Japan,1st Round,M,4-6 6-0 6-3,,5600,,,Caroline Wozniacki,DEN,446,,,Gisela Dulko,ARG
WTA,LS001,2008-09-22,1020,China Open - Beijing,WTA,Hard,O,China,1st Round,M,6-3 6-1,,379,,,Daniela Hantuchova,SVK,446,,,Gisela Dulko,ARG
WTA,LS001,2008-09-18,1023,Guangzhou International Womens Open 2008 - Guangzhou,WTA,Hard,O,China,2nd Round,M,6-4 6-4,,6933,,,Arantxa Rus,NED,446,,,Gisela Dulko,ARG
WTA,LS002,2008-09-16,1023,Guangzhou International Womens Open 2008 - Guangzhou,WTA,Hard,O,China,1st Round,M,7-6(3) 3-6 6-4,,446,,,Gisela Dulko,ARG,370,,,Tatiana Poutchek,BLR
WTA,LS001,2008-08-19,0602,Pilot Pen Tennis presented by Schick - New Haven,WTA,Hard,O,United States,1st Round,M,6-3 6-1,,501,,,Flavia Pennetta,ITA,446,,,Gisela Dulko,ARG
WTA,RS001,2008-08-16,0602,Pilot Pen Tennis presented by Schick - New Haven,WTA,Hard,O,United States,QR2,Q,6-3 6-3,,4121,,,Sara Errani,ITA,5256,,,Soledad Esperon,ARG
WTA,RS002,2008-08-15,0602,Pilot Pen Tennis presented by Schick - New Haven,WTA,Hard,O,United States,QR1,Q,1-6 6-2 6-3,,5256,,,Soledad Esperon,ARG,269,,,Jelena Kostanic Tosic,CRO
WTA,LS001,2008-07-21,0805,East West Bank Classic presented by Herbalife - Los Angeles,WTA,Hard,O,United States,1st Round,M,6-4 6-3,,4163,,,Olga Savchuk,UKR,446,,,Gisela Dulko,ARG
WTA,LS001,2008-07-15,0703,Bank of the West Classic - Stanford,WTA,Hard,O,United States,1st Round,M,7-5 7-6(1),,9153,,,Michelle Larcher De Brito,POR,446,,,Gisela Dulko,ARG
WTA,RS001,2008-07-07,0466,Internazionali femminili di tennis di Palermo - Palermo,WTA,Clay,O,Italy,QR3,Q,7-5 7-5,,884,,,Jarmila Wolfe,AUS,950,,,Jorgelina Cravero,ARG
WTA,RS002,2008-07-06,0466,Internazionali femminili di tennis di Palermo - Palermo,WTA,Clay,O,Italy,QR2,Q,6-1 6-0,,950,,,Jorgelina Cravero,ARG,180,,,Mirjana Lucic-Baroni,CRO
WTA,RS003,2008-07-05,0466,Internazionali femminili di tennis di Palermo - Palermo,WTA,Clay,O,Italy,QR1,Q,6-3 6-2,,950,,,Jorgelina Cravero,ARG,8228,,,Nastassja Burnett,ITA
WTA,LS001,2008-06-19,0710,International Womens Open - Eastbourne,WTA,Grass,O,Great Britain,Quarter-finals,M,7-5 7-5,,5915,,,Agnieszka Radwanska,POL,446,,,Gisela Dulko,ARG
WTA,LS002,2008-06-18,0710,International Womens Open - Eastbourne,WTA,Grass,O,Great Britain,2nd Round,M,6-1 6-7(3) 6-2,,446,,,Gisela Dulko,ARG,5599,,,Olga Govortsova,BLR
WTA,LS003,2008-06-16,0710,International Womens Open - Eastbourne,WTA,Grass,O,Great Britain,1st Round,M,3-6 6-4 6-2,,446,,,Gisela Dulko,ARG,280,,,Tathiana Garbin,ITA
WTA,RS001,2008-06-07,1052,DFS Classic - Birmingham,WTA,Grass,O,Great Britain,QR1,Q,6-4 6-2,,3812,,,Margit Ruutel,EST,5256,,,Soledad Esperon,ARG
WTA,RS002,2008-06-07,1052,DFS Classic - Birmingham,WTA,Grass,O,Great Britain,QR1,Q,6-0 6-1,,984,,,Chanelle Scheepers,RSA,5453,,,Betina Jozami,ARG
WTA,LS001,2008-05-13,0709,Internazionali BNL dItalia - Rome,WTA,Clay,O,Italy,1st Round,M,7-6(1) 6-4,,5593,,,Dominika Cibulkova,SVK,446,,,Gisela Dulko,ARG
WTA,LS001,2008-05-08,0708,Qatar Telecom German Open - Berlin,WTA,Clay,O,Germany,3rd Round,M,6-3 6-1,,5416,,,Victoria Azarenka,BLR,446,,,Gisela Dulko,ARG
WTA,LS002,2008-05-07,0708,Qatar Telecom German Open - Berlin,WTA,Clay,O,Germany,2nd Round,M,6-2 7-5,,446,,,Gisela Dulko,ARG,5600,,,Caroline Wozniacki,DEN
WTA,LS003,2008-05-06,0708,Qatar Telecom German Open - Berlin,WTA,Clay,O,Germany,1st Round,M,4-6 6-1 6-2,,446,,,Gisela Dulko,ARG,5086,,,Nicole Vaidisova,CZE
WTA,LS001,2008-05-04,1005,Grand Prix De SAR La Princesse Lalla Meryem - Fes,WTA,Clay,O,Morocco,Final,M,7-6(2) 7-6(5),,446,,,Gisela Dulko,ARG,401,,,Anabel Medina Garrigues,ESP
WTA,LS002,2008-05-03,1005,Grand Prix De SAR La Princesse Lalla Meryem - Fes,WTA,Clay,O,Morocco,Semi-finals,M,7-6(6) 6-3,,446,,,Gisela Dulko,ARG,5305,,,Aravane Rezai,FRA
WTA,LS003,2008-05-02,1005,Grand Prix De SAR La Princesse Lalla Meryem - Fes,WTA,Clay,O,Morocco,Quarter-finals,M,6-0 6-3,,446,,,Gisela Dulko,ARG,6019,,,Sorana Cirstea,ROU
WTA,LS004,2008-05-01,1005,Grand Prix De SAR La Princesse Lalla Meryem - Fes,WTA,Clay,O,Morocco,2nd Round,M,6-3 6-2,,446,,,Gisela Dulko,ARG,199,,,Emilie Loit,FRA
WTA,LS005,2008-04-30,1005,Grand Prix De SAR La Princesse Lalla Meryem - Fes,WTA,Clay,O,Morocco,1st Round,M,6-1 6-1,,446,,,Gisela Dulko,ARG,455,,,Maria-Elena Camerin,ITA
WTA,LS001,2008-04-15,0804,Family Circle Cup - Charleston,WTA,Clay,O,United States,2nd Round,M,6-3 6-4,,241,,,Serena Williams,USA,446,,,Gisela Dulko,ARG
WTA,LS002,2008-04-14,0804,Family Circle Cup - Charleston,WTA,Clay,O,United States,1st Round,M,6-2 6-3,,446,,,Gisela Dulko,ARG,314,,,Alicia Molik,AUS
WTA,LS003,2008-04-14,0804,Family Circle Cup - Charleston,WTA,Clay,O,United States,1st Round,M,7-5 6-4,,1066,,,Casey Dellacqua,AUS,421,,,Maria-Emilia Salerni,ARG
WTA,LS001,2008-04-09,0803,Bausch & Lomb Championships - Amelia Island,WTA,Clay,O,United States,2nd Round,M,6-2 1-6 7-6(1),,5915,,,Agnieszka Radwanska,POL,446,,,Gisela Dulko,ARG
WTA,LS002,2008-04-08,0803,Bausch & Lomb Championships - Amelia Island,WTA,Clay,O,United States,1st Round,M,7-5 6-2,,446,,,Gisela Dulko,ARG,532,,,Edina Gallovits,ROU
WTA,LS003,2008-04-07,0803,Bausch & Lomb Championships - Amelia Island,WTA,Clay,O,United States,1st Round,M,6-4 6-3,,401,,,Anabel Medina Garrigues,ESP,421,,,Maria-Emilia Salerni,ARG
WTA,LS001,2008-03-26,0902,Sony Ericsson Open - Miami,WTA,Hard,O,United States,1st Round,M,6-4 7-6(1),,426,,,Tatiana Perebiynis,UKR,446,,,Gisela Dulko,ARG
WTA,RS001,2008-03-24,0902,Sony Ericsson Open - Miami,WTA,Hard,O,United States,QR1,Q,2-6 6-3 6-3,,8234,,,Petra Kvitova,CZE,421,,,Maria-Emilia Salerni,ARG
WTA,LS001,2008-03-15,0609,Pacific Life Open - Indian Wells,WTA,Hard,O,United States,2nd Round,M,6-2 ret.,Retired,78,,,Lindsay Davenport,USA,446,,,Gisela Dulko,ARG
